itm_code,itm_desc,itm_date,itm_umpcs,itm_price,itm_cost,itm_inv,itm_vatflg,itm_min,itm_max,itm_type,itm_sup,itm_cat,itm_scat,itm_div,itm_divid,itm_mtype,itm_block,itm_unttg,itm_navcod,itm_pcbloc,itm_sobloc,itm_lascos,itm_pitem,itm_rtrade,itm_trade,itm_cat2,itm_scat2,itm_rrcod
00000001,PEANUT KISSES 200G,15/02/2022,PC,0,89.95,285638.55,,0,0,REGULAR,0,1,,,,AFTER PRODUCTION,0,1,,0,0,0,,0,1,PRODUCTION,,
00000002,PEANUT KISSES 100G,11/11/2020,PC,0,49.95,837376,,0,0,REGULAR,0,1,,,,AFTER PRODUCTION,0,1,,0,0,0,,0,1,PRODUCTION,,
00000003,PEANUT KISSES 20G,15/02/2022,PC,0,12.95,27116096,,0,0,REGULAR,0,1,,,,AFTER PRODUCTION,0,1,,0,0,0,,0,1,PRODUCTION,,
00000004,PAPER BAG EMPTY,26/01/2022,PC,0,30,-31881,,0,0,REGULAR,0,1,,,,AFTER PRODUCTION,0,1,,0,0,0,,0,1,PRODUCTION,,
00000005,PEANUT KISSES COMBO PACKAGE,02/03/2022,BAG,0,230,47344,,0,0,REGULAR,0,1,,,,AFTER PRODUCTION,0,1,,0,0,0,,0,1,PRODUCTION,,
00000006,PEANUT KISSES PASALUBONG BOX,11/11/2020,BOX,0,550,14485,,0,0,REGULAR,0,1,,,,AFTER PRODUCTION,0,1,,0,0,0,,0,1,PRODUCTION,,
00000007,PEANUT KISSES (DEFORM),11/06/2016,PACK,0,50,3231,,0,0,REGULAR,0,1,,,,AFTER PRODUCTION,0,1,,0,0,0,,0,1,PRODUCTION,,
00000008,PASALUBONG BOX EMPTY,25/08/2015,PC,14,14,10,,0,0,REGULAR,0,1,,,,AFTER PRODUCTION,0,1,,0,0,0,,0,1,PRODUCTION,,
00000009,PEANUT KISSES 500G (TIPAK),13/03/2017,PACK,0,42.5,0,,0,0,REGULAR,0,1,,,,AFTER PRODUCTION,0,1,,0,0,0,,0,1,PRODUCTION,,
00000012,PAPER BAG W/100G,14/09/2015,BAG,0,0,471,,0,0,REGULAR,0,1,,,,AFTER PRODUCTION,0,1,,0,0,0,,0,1,PRODUCTION,,
00000013,PAPER BAG W/200G,14/09/2015,BAG,0,0,277,,0,0,REGULAR,0,1,,,,AFTER PRODUCTION,0,1,,0,0,0,,0,1,PRODUCTION,,
00000014,EGG,12/11/2019,PC,0,75,9783276,,0,0,MISC,0,1,,,,BEFORE PRODUCTION,0,1,,0,0,7.33,,0,1,PRODUCTION,,
00000015,SUGAR,12/10/2020,KILO,0,0,852898.96,,0,0,MISC,0,1,,,,BEFORE PRODUCTION,0,1,,0,0,61,,0,1,PRODUCTION,,
00000016,VANILLA,17/02/2021,GAL,0,0,6784933.86,,0,0,MISC,0,1,,,,BEFORE PRODUCTION,0,1,,0,0,124.5,,0,1,PRODUCTION,,
00000017,PEANUT,12/10/2020,KILO,0,0,1537020.65,,0,0,MISC,0,1,,,,BEFORE PRODUCTION,0,1,,0,0,79,,2,1,PRODUCTION,,
00000018,CRACKED EGG,13/07/2018,PC,0,3,40450,,0,0,MISC,0,1,,,,AFTER PRODUCTION,0,1,90.02.33,0,0,0,,0,2,PRODUCTION,,
00000019,SNOWLAR VEGETABLE LARD,11/02/2017,PAIL,0,0,818195.41,,0,0,MISC,0,1,,,,BEFORE PRODUCTION,0,1,,0,0,1650,,0,1,PRODUCTION,,
00000020,PEANUT KISSES 500G,13/03/2017,PACK,0,0,0,,0,0,REGULAR,0,1,,,,AFTER PRODUCTION,0,1,,0,0,0,,0,1,PRODUCTION,,
00000021,PEANUT KISSES (DEFORM 200GRAMS),03/05/2017,PACK,0,40,9,,0,0,REGULAR,0,1,,,,AFTER PRODUCTION,0,1,,0,0,0,,0,1,PRODUCTION,,
00000022,HOLD PEANUT KISSES,19/02/2018,KILO,0,260,1113.41,,0,0,REGULAR,0,1,,,,AFTER PRODUCTION,0,1,,0,0,0,,0,1,PRODUCTION,,
00000023,PEANUT KISSES (PAGOD),19/02/2018,KILO,0,260,135.87,,0,0,REGULAR,0,,,,,AFTER PRODUCTION,0,1,,0,0,0,,0,1,PRODUCTION,,
00000024,OIL (CARLO MASTER 20KL),25/04/2018,KILO,0,4160,7919.72,,0,0,MISC,0,,,,,BEFORE PRODUCTION,0,1,,0,0,255,,0,1,PRODUCTION,,
00000025,PEANUT KISSES (TAGAK),29/05/2018,KILO,0,325,18.77,,0,0,REGULAR,0,,,,,AFTER PRODUCTION,0,1,,0,0,0,,0,1,PRODUCTION,,
00000851,EGG YOLK,18/07/2018,KILO,0,95,36816.98,,0,0,OTHER,0,,,,,AFTER PRODUCTION,0,1,90.02.27,0,0,0,,0,2,PRODUCTION,,
00001443,PEANUT KISSES (DUGMOK),29/10/2019,KILO,60,70,3469,,0,0,MISC,0,,,,,AFTER PRODUCTION,1,1,9006,0,0,0,,0,1,PRODUCTION,,
00001444,PAPER BAG REJECT,03/01/2019,PC,0,23.5,16,,0,0,MISC,0,,,,,AFTER PRODUCTION,0,1,90.02.20,0,0,0,,0,2,PRODUCTION,,
00001513,HOLD PEANUT KISSES (SEMI 100G),15/09/2018,PACK,0,0,78,,0,0,REGULAR,0,1,,,,AFTER PRODUCTION,0,1,,0,0,0,,0,1,PRODUCTION,,
00001533,PEANUT KISSES MIXTURE(TAGAK),09/01/2019,KILO,0,200,0.49,,0,0,REGULAR,0,1,,,,AFTER PRODUCTION,0,2,,0,0,0,,0,1,PRODUCTION,,
00001705,ECO BAG MEDIUM,24/07/2019,PC,0,9,7,,0,0,REGULAR,0,,,,,AFTER PRODUCTION,0,1,,0,0,0,,1,1,PRODUCTION,,
00001706,ECO BAG LARGE,24/07/2019,PC,0,10,179,,0,0,REGULAR,0,,,,,AFTER PRODUCTION,0,1,,0,0,0,,1,1,PRODUCTION,,
00001734,SUBSTANDARD BAKED COOKIES,05/01/2022,KILO,0,280,674.21,,0,0,REGULAR,0,,,,,AFTER PRODUCTION,0,1,,0,0,0,,0,1,PRODUCTION,,
00001735,CRUSHED COOKIES,01/12/2020,KILO,0,70,29953.78,,0,0,REGULAR,0,,,,,AFTER PRODUCTION,0,1,,0,0,0,,0,1,PRODUCTION,,
00001762,FROZEN EGGYOLK W/SUGAR 2 KG,23/10/2019,PACK,0,30,3833,,0,0,OTHER,0,,,,,AFTER PRODUCTION,0,1,90.02.27,0,0,0,,2,2,PRODUCTION,,
00001798,CARAMEL BISCOTTI,12/12/2019,KILO,0,215,52.17,,0,0,REGULAR,0,1,,,,AFTER PRODUCTION,0,2,,0,0,0,,1,1,PRODUCTION,,
00002300,SPECIAL PEANUT HOPIA 5PCS/PACK,18/11/2020,PACK,0,20,2011.8,,0,0,REGULAR,0,,,,,AFTER PRODUCTION,0,1,,0,0,0,,1,1,PRODUCTION,,
00002301,CRUNCHY PEANUT COOKIES 5PCS/PACK,18/11/2020,PACK,0,15,1866.3,,0,0,REGULAR,0,,,,,AFTER PRODUCTION,0,2,,0,0,0,,1,1,PRODUCTION,,
00002336,FROZEN EGGYOLK,01/12/2020,KILO,0,30,90.97,,0,0,REGULAR,0,1,,,,AFTER PRODUCTION,0,0,90.02.27,0,0,0,,1,2,,,
00002660,EGG WHITES,21/02/2022,KIL;O,0,0,23,,0,0,REGULAR,0,,,,,BEFORE PRODUCTION,0,0,,0,0,0,,1,2,PRODUCTION,,
